date,location,red_fighter,blue_fighter,weight_class,title_bout,red_sig_str_average,blue_sig_str_average,red_sig_strike_defence_average,blue_sig_strike_defence_average,red_td_average,blue_td_average,red_td_defence_average,blue_td_defence_average,red_stance,blue_stance,red_DOB,blue_DOB,red_Height,blue_Height,red_Reach,blue_Reach,red_record,blue_record,height_diff,reach_diff
2024-01-13,"Las Vegas, Nevada, USA",Jim Miller,Gabriel Benitez,Lightweight,N,0.41,0.41,0.58,0.65,0.43,0.5,0.48,0.58,Southpaw,Southpaw,1983-08-30,1988-06-15,173.0,173.0,180.34,180.34, 36-17-0 (1 NC), 23-11-0,-7.340000000000003,-7.340000000000003
2024-01-13,"Las Vegas, Nevada, USA",Farid Basharat,Taylor Lapilus,Bantamweight,N,0.63,0.47,0.58,0.62,0.53,0.4,0.83,0.81,Orthodox,Southpaw,1997-08-02,1992-04-08,173.0,168.0,180.34,185.42000000000002, 11-0-0, 19-3-0,-7.340000000000003,-17.420000000000016
2024-01-13,"Las Vegas, Nevada, USA",Bassil Hafez,Preston Parsons,Welterweight,N,0.25,0.56,0.39,0.49,0.15,0.33,0.5,1.0,Orthodox,Orthodox,1992-01-31,1995-07-15,180.0,180.0,182.88,180.34, 8-4-1, 10-4-0,-2.8799999999999955,-0.3400000000000034
2024-01-13,"Las Vegas, Nevada, USA",Gabriel Santos,Westin Wilson,Featherweight,N,0.55,0.5,0.44,0.26,0.46,0.0,0.66,0.0,Orthodox,Southpaw,1996-11-28,1989-01-24,175.0,185.0,177.8,185.42000000000002, 10-2-0, 16-8-0,-2.8000000000000114,-0.4200000000000159
2024-01-13,"Las Vegas, Nevada, USA",Ricky Simon,Mario Bautista,Bantamweight,N,0.44,0.51,0.62,0.53,0.5,0.5,0.75,0.56,Orthodox,Switch,1992-08-31,1993-07-01,168.0,175.0,175.26,175.26, 20-4-0, 13-2-0,-7.259999999999991,-0.2599999999999909
2024-01-13,"Las Vegas, Nevada, USA",Magomed Ankalaev,Johnny Walker,Light Heavyweight,N,0.52,0.56,0.58,0.45,0.31,1.0,0.86,0.57,Orthodox,Orthodox,1992-06-02,1992-03-30,190.0,198.0,190.5,208.28, 18-1-1 (1 NC), 21-7-0 (1 NC),-0.5,-10.280000000000001
2024-01-13,"Las Vegas, Nevada, USA",Andrei Arlovski,Waldo Cortes-Acosta,Heavyweight,N,0.45,0.5,0.57,0.52,0.36,0.0,0.76,0.6,Orthodox,Orthodox,1979-02-04,1991-10-03,190.0,193.0,195.58,198.12, 34-22-0 (2 NC), 10-1-0,-5.5800000000000125,-5.1200000000000045
2024-01-13,"Las Vegas, Nevada, USA",Marcus McGhee,Gaston Bolanos,Bantamweight,N,0.48,0.49,0.77,0.56,0.0,0.0,1.0,0.4,Orthodox,Orthodox,1990-05-07,1992-09-14,173.0,170.0,175.26,175.26, 8-1-0, 7-3-0,-2.259999999999991,-5.259999999999991
2024-01-13,"Las Vegas, Nevada, USA",Phil Hawes,Brunno Ferreira,Middleweight,N,0.59,0.53,0.55,0.47,0.36,0.0,1.0,0.5,Orthodox,Orthodox,1989-01-08,1992-11-04,183.0,178.0,195.58,182.88, 12-5-0, 10-1-0,-12.580000000000013,-4.8799999999999955
2024-01-13,"Las Vegas, Nevada, USA",Felipe Bunes,Denys Bondar,Flyweight,N,0.0,0.45,0.0,0.56,0.0,0.5,0.0,0.62,Orthodox,Orthodox,1989-10-29,1992-06-27,170.0,168.0,175.26,175.26, 13-6-0, 16-5-0,-5.259999999999991,-7.259999999999991
2024-01-13,"Las Vegas, Nevada, USA",Yana Santos,Norma Dumont,Women's Bantamweight,N,0.56,0.49,0.5,0.66,0.53,0.64,0.42,0.72,Orthodox,Orthodox,1989-11-11,1990-10-01,168.0,170.0,172.72,170.18, 14-8-0 (1 NC), 10-2-0,-4.719999999999999,-0.18000000000000682
2024-01-13,"Las Vegas, Nevada, USA",Nikolas Motta,Tom Nolan,Lightweight,N,0.3,0.54,0.52,0.5,0.0,0.0,0.82,0.0,Orthodox,Southpaw,1993-02-08,2000-03-08,175.0,190.0,177.8,185.42000000000002, 13-5-0 (1 NC), 6-0-0,-2.8000000000000114,4.579999999999984
2024-01-13,"Las Vegas, Nevada, USA",Ketlen Vieira,Macy Chiasson,Women's Bantamweight,N,0.41,0.44,0.51,0.46,0.44,0.34,0.92,0.64,Orthodox,Orthodox,1991-08-26,1991-07-27,173.0,180.0,172.72,182.88, 14-3-0, 9-3-0,0.28000000000000114,-2.8799999999999955
2024-01-13,"Las Vegas, Nevada, USA",Matheus Nicolau,Manel Kape,Flyweight,N,0.53,0.54,0.66,0.59,0.45,0.37,0.93,0.77,Orthodox,Southpaw,1993-01-06,1993-11-14,168.0,165.0,167.64000000000001,172.72, 19-4-1, 19-6-0,0.3599999999999852,-7.719999999999999
