date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_submission_attempts,blue_submission_attempts,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,red_sig_strike_attempted,red_sig_strike_landed,red_sig_strike_percent,blue_sig_strike_attempted,blue_sig_strike_landed,blue_sig_strike_percent,red_total_strikes_attempted,red_total_strikes_landed,red_total_strikes_percent,blue_total_strikes_attempted,blue_total_strikes_landed,blue_total_strikes_percent,red_takedowns_attempted,red_takedowns_landed,red_takedowns_percent,blue_takedowns_attempted,blue_takedowns_landed,blue_takedowns_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent,red_sig_strike_average,blue_sig_strike_average,red_takedowns_average,blue_takedowns_average,red_sig_strike_defence_average,blue_sig_strike_defence_average,red_takedowns_defence_average,blue_takedowns_defence_average
2021-11-20,"Las Vegas, Nevada, USA    ",Ketlen Vieira,Miesha Tate,W,Women's Bantamweight,N,0,0, 12-2-0,172.72,135 lbs.,172.72,Orthodox,1991-08-26, 19-8-0,167.64000000000001,135 lbs.,165.1,Orthodox,1986-08-18,263.0,113.0,0.4296577946768061,276.0,122.0,0.4420289855072464,313.0,156.0,0.4984025559105431,302.0,145.0,0.48013245033112584,1.0,0.0,0.0,6.0,1.0,0.16666666666666666,5.079999999999984,7.6200000000000045,30,35,0.5579710144927537,0.5703422053231939,0.8333333333333334,1.0,0.4307864495313658,0.4283543332937728,0.5202380952380953,0.23269841269841268,0.5068447398279627,0.49470106685986687,0.9714285714285714,0.5877819548872181
2021-11-20,"Las Vegas, Nevada, USA    ",Michael Chiesa,Sean Brady,L,Welterweight,N,0,0, 18-6-0,185.42000000000002,170 lbs.,190.5,Orthodox,1987-12-07, 15-0-0,177.8,170 lbs.,182.88,Orthodox,1992-11-23,57.0,29.0,0.5087719298245614,42.0,18.0,0.42857142857142855,107.0,71.0,0.6635514018691588,80.0,51.0,0.6375,1.0,1.0,1.0,8.0,5.0,0.625,7.6200000000000045,7.6200000000000045,34,29,0.5714285714285714,0.49122807017543857,0.375,0.0,0.4036355111271098,0.5484836242189184,0.5264880952380953,0.7777777777777778,0.5442042068792513,0.6366896597300081,0.8102678571428572,1.0
2021-11-20,"Las Vegas, Nevada, USA    ",Joanne Wood,Taila Santos,L,Women's Flyweight,N,0,2, 15-7-0,167.64000000000001,125 lbs.,165.1,Orthodox,1985-12-23, 19-1-0,167.64000000000001,125 lbs.,172.72,Orthodox,1993-06-22,68.0,27.0,0.39705882352941174,60.0,30.0,0.5,72.0,30.0,0.4166666666666667,67.0,36.0,0.5373134328358209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6200000000000045,36,28,0.5,0.6029411764705883,1.0,1.0,0.5288672243599591,0.5168196241880452,0.358974358974359,0.9285714285714286,0.4824133683574445,0.5898157260472806,0.6858974358974359,0.9
2021-11-20,"Las Vegas, Nevada, USA    ",Rani Yahya,Kyung Ho Kang,W,Bantamweight,N,1,0, 28-10-1 (1 NC),167.64000000000001,135 lbs.,170.18,Orthodox,1984-09-12, 17-9-0 (1 NC),175.26,135 lbs.,185.42000000000002,Orthodox,1987-09-09,48.0,27.0,0.5625,82.0,43.0,0.524390243902439,218.0,152.0,0.6972477064220184,154.0,103.0,0.6688311688311688,8.0,3.0,0.375,0.0,0.0,0.0,-7.619999999999976,-15.240000000000009,37,34,0.47560975609756095,0.4375,1.0,0.625,0.47250911780679494,0.41877471543142814,0.349963924963925,0.609347442680776,0.5564690752549478,0.5846991215745106,0.5435185185185185,0.7407407407407408
2021-11-20,"Las Vegas, Nevada, USA    ",Davey Grant,Adrian Yanez,L,Bantamweight,N,0,0, 13-6-0,172.72,135 lbs.,175.26,Orthodox,1985-12-18, 15-3-0,170.18,135 lbs.,177.8,Orthodox,1993-11-29,273.0,98.0,0.358974358974359,255.0,100.0,0.39215686274509803,274.0,98.0,0.35766423357664234,255.0,100.0,0.39215686274509803,1.0,0.0,0.0,0.0,0.0,0.0,2.539999999999992,-2.5400000000000205,36,28,0.607843137254902,0.641025641025641,1.0,1.0,0.49869503633644124,0.41529477979456875,0.35833333333333334,0.0,0.5816598462505153,0.5455002513826043,0.7361111111111112,1.0
2021-11-20,"Las Vegas, Nevada, USA    ",Pat Sabatini,Tucker Lutz,W,Featherweight,N,3,0, 16-3-0,172.72,145 lbs.,177.8,Orthodox,1990-11-09, 12-2-0,172.72,145 lbs.,182.88,Orthodox,1994-07-12,24.0,16.0,0.6666666666666666,35.0,17.0,0.4857142857142857,132.0,111.0,0.8409090909090909,55.0,36.0,0.6545454545454545,11.0,5.0,0.45454545454545453,1.0,1.0,1.0,0.0,-5.079999999999984,31,27,0.5142857142857142,0.33333333333333337,0.0,0.5454545454545454,0.34444444444444444,0.559322033898305,0.1,0.75,0.45285714285714285,0.4375,0.5,1.0
2021-11-20,"Las Vegas, Nevada, USA    ",Loma Lookboonmee,Loopy Godinez,L,Women's Strawweight,N,0,1, 6-3-0,154.94,115 lbs.,154.94,Orthodox,1996-01-18, 7-2-0,157.48,115 lbs.,154.94,Orthodox,1993-09-06,39.0,15.0,0.38461538461538464,45.0,23.0,0.5111111111111111,125.0,72.0,0.576,98.0,64.0,0.6530612244897959,2.0,1.0,0.5,12.0,5.0,0.4166666666666667,-2.539999999999992,0.0,26,28,0.48888888888888893,0.6153846153846154,0.5833333333333333,0.5,0.5811706018608203,0.6042067708734375,0.4166666666666667,0.43333333333333335,0.5268931238212664,0.639193942448857,0.7916666666666667,0.9523809523809524
2021-11-20,"Las Vegas, Nevada, USA    ",Cody Durden,Aoriqileng,W,Flyweight,N,0,0, 12-3-1,170.18,125 lbs.,170.18,Orthodox,1991-03-29, 18-9-0,170.18,125 lbs.,175.26,Orthodox,1993-06-25,133.0,60.0,0.45112781954887216,142.0,65.0,0.45774647887323944,158.0,80.0,0.5063291139240507,161.0,78.0,0.484472049689441,10.0,5.0,0.5,3.0,1.0,0.3333333333333333,0.0,-5.079999999999984,31,28,0.5422535211267605,0.5488721804511278,0.6666666666666667,0.5,0.539889705882353,0.4496124031007752,0.5769230769230769,0.75,0.48296199213630403,0.4691011235955056,0.5,1.0
2021-11-20,"Las Vegas, Nevada, USA    ",Shayilan Nuerdanbieke,Sean Soriano,W,Featherweight,N,0,0, 20-7-0,172.72,145 lbs.,175.26,Orthodox,1994-05-04, 14-8-0,175.26,145 lbs.,177.8,Orthodox,1989-10-06,49.0,17.0,0.3469387755102041,56.0,35.0,0.625,190.0,111.0,0.5842105263157895,76.0,49.0,0.6447368421052632,8.0,4.0,0.5,2.0,2.0,1.0,-2.539999999999992,-2.5400000000000205,28,32,0.375,0.653061224489796,0.0,0.5,0.2698412698412698,0.6216095657847431,0.14285714285714285,0.10714285714285714,0.4903846153846154,0.4949618736383442,1.0,0.4883928571428572
2021-11-20,"Las Vegas, Nevada, USA    ",Luana Pinheiro,Sam Hughes,W,Women's Strawweight,N,1,0, 10-1-0,157.48,115 lbs.,157.48,Orthodox,1992-11-18, 5-4-0,165.1,115 lbs.,162.56,Orthodox,1992-06-28,159.0,60.0,0.37735849056603776,130.0,53.0,0.4076923076923077,170.0,67.0,0.3941176470588235,147.0,65.0,0.4421768707482993,3.0,2.0,0.6666666666666666,0.0,0.0,0.0,-7.6200000000000045,-5.0800000000000125,29,29,0.5923076923076923,0.6226415094339622,1.0,0.33333333333333337,0.5471698113207547,0.5242956836391832,0.8333333333333334,0.0,0.55,0.40886313811462577,1.0,0.25
