date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_knockdowns,blue_knockdowns,red_sig_strike,blue_sig_strike,red_sig_strike_percent,blue_sig_strike_percent,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percent,blue_takedown_percent,red_submission_attempts,blue_submission_attempts,red_reversals,blue_reversals,red_control_time,blue_control_time,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str_Acc,red_SApM,red_Str_Def,red_TD_Avg,red_TD_Acc,red_TD_Def,red_Sub_Avg,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str_Acc,blue_SApM,blue_Str_Def,blue_TD_Avg,blue_TD_Acc,blue_TD_Def,blue_Sub_Avg
"November 20, 2021","Las Vegas, Nevada, USA    ",Ketlen Vieira,Miesha Tate,W,Women's Bantamweight,N,0,0,113 of 263,122 of 276,42%,44%,156 of 313,145 of 302,0 of 1,1 of 6,0%,16%,0,0,0,0,0:02,2:52, 12-2-0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",3.07,38%,4.07,54%,1.71,46%,90%,0.4, 19-8-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 18, 1986",2.41,43%,2.87,52%,1.99,31%,53%,1.4
"November 20, 2021","Las Vegas, Nevada, USA    ",Michael Chiesa,Sean Brady,L,Welterweight,N,0,0,29 of 57,18 of 42,50%,42%,71 of 107,51 of 80,1 of 1,5 of 8,100%,62%,0,0,0,0,0:53,7:45, 18-6-0,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",1.88,41%,1.67,54%,3.39,54%,60%,1.0, 15-0-0,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",3.91,54%,3.22,62%,3.22,60%,87%,0.9
"November 20, 2021","Las Vegas, Nevada, USA    ",Joanne Wood,Taila Santos,L,Women's Flyweight,N,0,2,27 of 68,30 of 60,39%,50%,30 of 72,36 of 67,0 of 0,0 of 0,---,---,0,2,0,0,0:00,1:17, 15-7-0,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",6.71,50%,4.55,52%,1.57,55%,63%,0.4, 19-1-0,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 1993",3.71,50%,2.23,63%,2.44,86%,88%,1.1
"November 20, 2021","Las Vegas, Nevada, USA    ",Rani Yahya,Kyung Ho Kang,W,Bantamweight,N,0,1,27 of 48,43 of 82,56%,52%,152 of 218,103 of 154,3 of 8,0 of 0,37%,---,1,0,1,0,10:36,1:05, 28-10-1 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",1.58,38%,1.76,50%,2.90,33%,24%,1.9, 17-9-0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",2.56,45%,2.36,57%,2.23,59%,68%,0.9
"November 20, 2021","Las Vegas, Nevada, USA    ",Davey Grant,Adrian Yanez,L,Bantamweight,N,0,0,98 of 273,100 of 255,35%,39%,98 of 274,100 of 255,0 of 1,0 of 0,0%,---,0,0,0,0,0:10,0:00, 13-6-0,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",4.55,44%,3.75,57%,1.77,44%,60%,0.1, 15-3-0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993",6.35,39%,5.52,60%,0.00,0%,100%,0.0
"November 20, 2021","Las Vegas, Nevada, USA    ",Pat Sabatini,Tucker Lutz,W,Featherweight,N,0,0,16 of 24,17 of 35,66%,48%,111 of 132,36 of 55,5 of 11,1 of 1,45%,100%,3,0,1,0,10:55,1:16, 16-3-0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",1.35,55%,1.44,53%,2.82,35%,0%,2.8, 12-2-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 12, 1994",4.10,51%,3.02,44%,2.00,66%,70%,0.2
"November 20, 2021","Las Vegas, Nevada, USA    ",Rafa Garcia,Natan Levy,W,Lightweight,N,0,0,35 of 91,47 of 127,38%,37%,55 of 117,56 of 136,7 of 12,3 of 7,58%,42%,0,0,0,0,5:37,0:48, 13-2-0,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",3.53,35%,5.47,53%,4.00,44%,70%,0.3, 6-1-0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991",2.51,41%,1.70,60%,2.89,55%,46%,1.2
"November 20, 2021","Las Vegas, Nevada, USA    ",Loma Lookboonmee,Loopy Godinez,L,Women's Strawweight,N,0,0,15 of 39,23 of 45,38%,51%,72 of 125,64 of 98,1 of 2,5 of 12,50%,41%,0,1,0,0,2:53,7:32, 6-3-0,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",4.41,56%,2.81,54%,1.40,38%,68%,0.0, 7-2-0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",1.97,52%,2.07,58%,4.57,35%,77%,0.6
"November 20, 2021","Las Vegas, Nevada, USA    ",Cody Durden,Aoriqileng,W,Flyweight,N,0,0,60 of 133,65 of 142,45%,45%,80 of 158,78 of 161,5 of 10,1 of 3,50%,33%,0,0,0,0,5:39,1:17, 12-3-1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.51,46%,4.11,48%,4.05,36%,60%,0.5, 18-9-0,"5' 7""",125 lbs.,"69""",Orthodox,"Jun 25, 1993",6.03,45%,8.30,49%,2.00,57%,54%,0.0
"November 20, 2021","Las Vegas, Nevada, USA    ",Shayilan Nuerdanbieke,Sean Soriano,W,Featherweight,N,0,0,17 of 49,35 of 56,34%,62%,111 of 190,49 of 76,4 of 8,2 of 2,50%,100%,0,0,2,2,7:25,1:45, 20-7-0,"5' 8""",145 lbs.,"69""",Orthodox,"May 04, 1994",1.13,30%,2.93,45%,3.00,27%,33%,0.0, 14-8-0,"5' 9""",145 lbs.,"70""",Orthodox,"Oct 06, 1989",3.18,61%,2.14,56%,1.33,55%,52%,0.0
