date,location,weight_class,title_bout,winner,red_Fighter,blue_Fighter,red_KD,blue_KD,red_Sig. str. %,blue_Sig. str. %,red_Td %,blue_Td %,red_Sub. att,blue_Sub. att,red_Rev.,blue_Rev.,red_Ctrl,blue_Ctrl,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str. Acc.,red_SApM,red_Str. Def,red_TD Avg.,red_TD Acc.,red_TD Def.,red_Sub. Avg.,red_record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str. Acc.,blue_SApM,blue_Str. Def,blue_TD Avg.,blue_TD Acc.,blue_TD Def.,blue_Sub. Avg.,blue_record,red_Sig. str._attempted,red_Sig. str._landed,red_Sig. str._percent,blue_Sig. str._attempted,blue_Sig. str._landed,blue_Sig. str._percent,red_Total str._attempted,red_Total str._landed,red_Total str._percent,blue_Total str._attempted,blue_Total str._landed,blue_Total str._percent,red_Td_attempted,red_Td_landed,red_Td_percent,blue_Td_attempted,blue_Td_landed,blue_Td_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent
2023-05-20,"Las Vegas, Nevada, USA",Women's Strawweight,N,W,Mackenzie Dern,Angela Hill,1,0,0.6,0.61,0.33,0.0,0,0,0,0,13:12,7:11,163.0,115 lbs.,160.02,Orthodox,1993-03-24,3.36,40%,4.09,51%,0.81,15%,40%,1.5, 13-3-0,160.0,115 lbs.,162.56,Orthodox,1985-01-12,5.46,49%,4.97,61%,0.54,29%,76%,0.1, 15-13-0,210.0,126.0,0.6,108.0,66.0,0.6111111111111112,340.0,247.0,0.7264705882352941,142.0,94.0,0.6619718309859155,9.0,3.0,0.3333333333333333,0.0,0.0,0.0,3.0,-2.539999999999992,30,38,0.39,0.4,1.0,0.6699999999999999
2023-05-20,"Las Vegas, Nevada, USA",Middleweight,N,L,Edmen Shahbazyan,Anthony Hernandez,0,0,0.58,0.71,1.0,0.4,1,4,0,0,0:41,7:11,188.0,185 lbs.,190.5,Orthodox,1997-11-20,3.46,51%,4.13,43%,2.17,39%,63%,0.6, 12-4-0,183.0,185 lbs.,190.5,Orthodox,1993-10-18,4.33,62%,3.36,46%,6.79,57%,63%,2.9, 11-2-0 (1 NC),51.0,30.0,0.5882352941176471,88.0,63.0,0.7159090909090909,55.0,33.0,0.6,105.0,77.0,0.7333333333333333,1.0,1.0,1.0,15.0,6.0,0.4,5.0,0.0,25,30,0.29000000000000004,0.42000000000000004,0.6,0.0
2023-05-20,"Las Vegas, Nevada, USA",Catch Weight,N,L,Emily Ducote,Loopy Godinez,0,0,0.41,0.53,0.0,0.33,0,0,0,0,0:11,0:13,157.0,115 lbs.,160.02,Orthodox,1994-01-01,6.64,46%,8.38,54%,0.0,0%,90%,0.0, 12-8-0,157.0,115 lbs.,154.94,Orthodox,1993-09-06,4.16,49%,3.77,62%,3.43,43%,81%,0.6, 10-3-0,270.0,112.0,0.4148148148148148,246.0,132.0,0.5365853658536586,275.0,117.0,0.4254545454545455,248.0,133.0,0.5362903225806451,4.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,5.0800000000000125,29,30,0.47,0.5900000000000001,0.6699999999999999,1.0
2023-05-20,"Las Vegas, Nevada, USA",Welterweight,N,L,Andre Fialho,Joaquin Buckley,0,1,0.43,0.29,0.0,0.66,0,0,0,0,0:07,0:23,183.0,170 lbs.,187.96,Orthodox,1994-04-07,3.02,39%,5.59,50%,0.0,0%,60%,0.0, 16-7-0 (1 NC),178.0,170 lbs.,193.04,Southpaw,1994-04-27,3.76,32%,3.42,55%,1.43,34%,66%,0.0, 16-6-0,51.0,22.0,0.43137254901960786,89.0,26.0,0.29213483146067415,51.0,22.0,0.43137254901960786,90.0,27.0,0.3,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,5.0,-5.079999999999984,29,29,0.71,0.5700000000000001,0.33999999999999997,1.0
2023-05-20,"Las Vegas, Nevada, USA",Lightweight,N,W,Diego Ferreira,Michael Johnson,1,0,0.42,0.55,0.0,0.0,0,0,0,0,0:01,0:00,175.0,155 lbs.,187.96,Orthodox,1985-01-18,4.66,37%,3.42,56%,0.71,22%,63%,0.7, 18-5-0,178.0,155 lbs.,185.42000000000002,Southpaw,1986-06-04,4.28,39%,3.91,58%,0.46,38%,80%,0.1, 22-19-0,71.0,30.0,0.4225352112676056,58.0,32.0,0.5517241379310345,71.0,30.0,0.4225352112676056,58.0,32.0,0.5517241379310345,2.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.539999999999992,38,37,0.44999999999999996,0.5800000000000001,1.0,1.0
2023-05-20,"Las Vegas, Nevada, USA",Lightweight,N,L,Maheshate,Viacheslav Borshchev,0,3,0.29,0.57,0.0,0.0,0,0,0,0,0:00,0:09,183.0,155 lbs.,180.34,Orthodox,1999-12-01,2.91,26%,4.86,49%,0.0,0%,45%,0.0, 9-3-0,180.0,155 lbs.,175.26,Orthodox,1992-01-08,4.63,57%,3.44,56%,0.0,0%,35%,0.0, 7-3-0,109.0,32.0,0.29357798165137616,148.0,85.0,0.5743243243243243,110.0,33.0,0.3,148.0,85.0,0.5743243243243243,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0800000000000125,23,31,0.43000000000000005,0.71,1.0,1.0
2023-05-20,"Las Vegas, Nevada, USA",Women's Strawweight,N,W,Karolina Kowalkiewicz,Vanessa Demopoulos,0,0,0.58,0.3,0.0,0.0,0,0,0,0,1:52,0:00,160.0,115 lbs.,162.56,Orthodox,1985-10-15,5.65,42%,5.47,58%,0.31,30%,76%,0.2, 15-7-0,157.0,115 lbs.,149.86,Orthodox,1988-09-22,3.71,42%,5.61,43%,0.58,13%,50%,0.8, 9-5-0,237.0,139.0,0.5864978902953587,221.0,68.0,0.3076923076923077,249.0,148.0,0.5943775100401606,237.0,83.0,0.350210970464135,0.0,0.0,0.0,4.0,0.0,0.0,3.0,12.699999999999989,38,35,0.7,0.42000000000000004,1.0,1.0
2023-05-20,"Las Vegas, Nevada, USA",Welterweight,N,L,Orion Cosce,Gilbert Urbina,0,1,0.5,0.62,0.0,1.0,0,1,0,0,0:05,3:06,180.0,170 lbs.,180.34,Switch,1994-07-15,2.77,53%,4.02,44%,1.92,40%,61%,0.0, 8-2-0,190.0,170 lbs.,190.5,Orthodox,1996-04-05,6.33,60%,4.09,47%,3.96,50%,0%,1.0, 7-3-0,32.0,16.0,0.5,82.0,51.0,0.6219512195121951,48.0,28.0,0.5833333333333334,139.0,100.0,0.7194244604316546,0.0,0.0,0.0,2.0,2.0,1.0,-10.0,-10.159999999999997,29,27,0.38,0.5,0.0,1.0
2023-05-20,"Las Vegas, Nevada, USA",Heavyweight,N,L,Ilir Latifi,Rodrigo Nascimento,0,0,0.63,0.44,0.28,0.0,0,0,0,0,3:50,0:00,178.0,230 lbs.,185.42000000000002,Orthodox,1982-07-28,2.05,45%,2.93,56%,2.11,35%,100%,0.3, 17-9-0 (1 NC),188.0,246 lbs.,203.2,Orthodox,1992-11-26,4.2,49%,4.6,40%,1.58,41%,75%,0.9, 10-1-0 (1 NC),77.0,49.0,0.6363636363636364,152.0,68.0,0.4473684210526316,105.0,76.0,0.7238095238095238,160.0,76.0,0.475,7.0,2.0,0.2857142857142857,0.0,0.0,0.0,-10.0,-17.779999999999973,41,30,0.56,0.37,1.0,0.72
2023-05-20,"Las Vegas, Nevada, USA",Lightweight,N,W,Chase Hooper,Nick Fiore,0,0,0.6,0.56,0.1,0.5,1,0,1,0,3:54,4:47,185.0,155 lbs.,187.96,Southpaw,1999-09-13,5.0,51%,3.67,36%,1.47,22%,50%,2.1, 12-3-1,178.0,155 lbs.,182.88,Orthodox,1997-12-10,2.83,46%,7.93,42%,2.5,45%,71%,0.0, 6-2-0,245.0,149.0,0.6081632653061224,90.0,51.0,0.5666666666666667,340.0,217.0,0.638235294117647,98.0,58.0,0.5918367346938775,10.0,1.0,0.1,8.0,4.0,0.5,7.0,5.0800000000000125,24,25,0.43999999999999995,0.4,0.5,0.9
