date,location,weight_class,title_bout,winner,red_Fighter,blue_Fighter,red_KD,blue_KD,red_Sig. str.,blue_Sig. str.,red_Sig. str. %,blue_Sig. str. %,red_Total str.,blue_Total str.,red_Td,blue_Td,red_Td %,blue_Td %,red_Sub. att,blue_Sub. att,red_Rev.,blue_Rev.,red_Ctrl,blue_Ctrl,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str. Acc.,red_SApM,red_Str. Def,red_TD Avg.,red_TD Acc.,red_TD Def.,red_Sub. Avg.,red_record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str. Acc.,blue_SApM,blue_Str. Def,blue_TD Avg.,blue_TD Acc.,blue_TD Def.,blue_Sub. Avg.,blue_record
"May 06, 2023","Newark, New Jersey, USA    ",UFC Bantamweight,Y,W,Aljamain Sterling,Henry Cejudo,0,0,135 of 210,99 of 174,64%,56%,186 of 261,143 of 219,4 of 15,3 of 8,26%,37%,0,0,0,0,4:00,5:06,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",4.78,52%,2.37,58%,2.02,24%,45%,0.8, 23-3-0,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",3.93,47%,3.15,60%,2.07,34%,83%,0.2, 16-3-0
"May 06, 2023","Newark, New Jersey, USA    ",Welterweight,N,W,Belal Muhammad,Gilbert Burns,0,0,132 of 283,81 of 147,46%,55%,132 of 283,81 of 147,0 of 0,0 of 4,---,0%,0,0,0,0,0:00,0:00,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.55,43%,3.64,57%,1.98,35%,93%,0.2, 23-3-0 (1 NC),"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",3.36,48%,3.34,54%,1.95,35%,47%,0.5, 22-6-0
"May 06, 2023","Newark, New Jersey, USA    ",Women's Strawweight,N,L,Jessica Andrade,Yan Xiaonan,0,1,12 of 32,26 of 36,37%,72%,12 of 32,26 of 36,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.82,50%,5.4,54%,2.61,54%,73%,0.4, 24-11-0,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",5.55,44%,3.56,61%,0.86,66%,70%,0.0, 17-3-0 (1 NC)
"May 06, 2023","Newark, New Jersey, USA    ",Featherweight,N,W,Movsar Evloev,Diego Lopes,0,0,88 of 129,37 of 69,68%,53%,183 of 228,48 of 82,4 of 7,0 of 0,57%,---,0,4,0,1,8:30,0:41,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.57,49%,2.74,61%,4.71,50%,71%,0.3, 17-0-0,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",2.26,52%,5.24,34%,0.0,0%,36%,4.2, 21-6-0
"May 06, 2023","Newark, New Jersey, USA    ",Featherweight,N,L,Kron Gracie,Charles Jourdain,0,0,32 of 57,80 of 168,56%,47%,171 of 216,175 of 266,0 of 0,0 of 0,---,---,0,0,0,0,0:43,6:48,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",3.74,44%,6.82,53%,0.47,25%,0%,0.5, 5-2-0,"5' 9""",145 lbs.,"69""",Switch,"Nov 27, 1995",5.78,49%,4.3,57%,0.1,16%,48%,0.4, 14-6-1
"May 06, 2023","Newark, New Jersey, USA    ",Lightweight,N,L,Drew Dober,Matt Frevola,0,1,20 of 59,35 of 75,33%,46%,20 of 59,39 of 79,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:08,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.48,39%,4.5,51%,0.69,17%,56%,0.1, 26-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.72,41%,3.56,59%,2.26,36%,42%,0.9, 11-3-1
"May 06, 2023","Newark, New Jersey, USA    ",Light Heavyweight,N,W,Kennedy Nzechukwu,Devin Clark,0,0,62 of 81,36 of 58,76%,62%,79 of 98,61 of 90,0 of 1,1 of 4,0%,25%,1,0,0,0,3:42,1:04,"6' 5""",205 lbs.,"83""",Southpaw,"Jun 13, 1992",4.89,46%,4.23,51%,0.69,50%,80%,0.3, 12-3-0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",2.99,55%,2.95,43%,2.35,33%,60%,0.1, 14-8-0
"May 06, 2023","Newark, New Jersey, USA    ",Welterweight,N,W,Khaos Williams,Rolando Bedoya,0,0,130 of 283,149 of 209,45%,71%,131 of 284,150 of 210,0 of 0,0 of 2,---,0%,0,0,0,0,1:13,0:07,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",5.77,39%,5.33,42%,0.0,0%,80%,0.0, 14-3-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 13, 1997",9.93,71%,8.67,54%,0.0,0%,0%,0.0, 14-2-0
"May 06, 2023","Newark, New Jersey, USA    ",Women's Strawweight,N,L,Marina Rodriguez,Virna Jandiroba,0,0,33 of 62,27 of 43,53%,62%,115 of 150,91 of 116,0 of 0,3 of 7,---,42%,0,0,0,1,0:05,12:02,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",4.58,47%,2.94,56%,0.17,33%,64%,0.2, 16-3-2,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",2.34,40%,3.03,56%,2.42,39%,73%,1.0, 19-3-0
"May 06, 2023","Newark, New Jersey, USA    ",Heavyweight,N,L,Braxton Smith,Parker Porter,0,0,14 of 29,25 of 37,48%,67%,14 of 29,37 of 62,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:27,"5' 11""",257 lbs.,"72""",Orthodox,"Jan 01, 1990",6.46,48%,11.54,32%,0.0,0%,100%,0.0, 5-2-0,"6' 0""",265 lbs.,"75""",Orthodox,"Apr 22, 1985",6.66,50%,6.34,51%,1.38,27%,66%,0.5, 14-8-0
"May 06, 2023","Newark, New Jersey, USA    ",Middleweight,N,L,Phil Hawes,Ikram Aliskerov,0,1,17 of 28,20 of 33,60%,60%,17 of 28,20 of 33,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 08, 1989",5.55,59%,3.7,55%,2.28,36%,100%,0.2, 12-5-0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.25,60%,7.88,40%,3.47,33%,0%,3.5, 14-1-0
"May 06, 2023","Newark, New Jersey, USA    ",Middleweight,N,L,Joseph Holmes,Claudio Ribeiro,0,1,17 of 24,37 of 63,70%,58%,22 of 29,60 of 91,1 of 2,1 of 1,50%,100%,0,0,0,0,2:30,3:07,"6' 4""",185 lbs.,"80""",Orthodox,"Jul 04, 1995",2.88,53%,3.08,54%,1.49,40%,50%,0.8, 8-4-0,"6' 1""",185 lbs.,"77""",Orthodox,"Jul 17, 1992",4.22,60%,2.39,38%,1.05,100%,75%,0.0, 11-3-0
"April 29, 2023","Las Vegas, Nevada, USA    ",Bantamweight,N,W,Song Yadong,Ricky Simon,2,0,105 of 228,60 of 139,46%,43%,110 of 234,64 of 144,0 of 0,2 of 9,---,22%,0,0,0,0,0:27,0:51,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.61,42%,3.77,59%,0.53,55%,72%,0.2, 20-7-1 (1 NC),"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.01,44%,3.23,62%,5.84,50%,75%,0.4, 20-4-0
"April 29, 2023","Las Vegas, Nevada, USA    ",Middleweight,N,W,Caio Borralho,Michal Oleksiejczuk,0,0,34 of 55,30 of 65,61%,46%,52 of 74,30 of 65,3 of 6,0 of 1,50%,0%,1,0,0,0,2:39,0:13,"5' 10""",185 lbs.,"75""",Southpaw,"Jan 16, 1993",2.59,61%,1.86,59%,2.63,66%,57%,0.7, 14-1-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",4.82,49%,4.02,62%,0.60,37%,44%,0.0, 18-6-0 (1 NC)
"April 29, 2023","Las Vegas, Nevada, USA    ",Middleweight,N,W,Rodolfo Vieira,Cody Brundage,0,1,10 of 15,20 of 29,66%,68%,30 of 37,41 of 51,1 of 7,0 of 0,14%,---,2,1,0,0,4:19,1:04,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",3.36,54%,4.84,48%,3.70,26%,100%,1.4, 9-2-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 16, 1994",2.48,55%,2.63,49%,2.60,46%,73%,1.3, 8-4-0
"April 29, 2023","Las Vegas, Nevada, USA    ",Featherweight,N,L,Julian Erosa,Fernando Padilla,0,1,15 of 24,20 of 29,62%,68%,15 of 24,20 of 29,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:02,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.22,48%,6.35,47%,1.66,46%,61%,0.6, 28-12-0,"6' 1""",145 lbs.,"76""",Orthodox,"Dec 15, 1996",11.88,68%,8.91,37%,0.00,0%,100%,0.0, 15-4-0
"April 29, 2023","Las Vegas, Nevada, USA    ",Heavyweight,N,W,Marcos Rogerio de Lima,Waldo Cortes-Acosta,0,0,59 of 76,82 of 150,77%,54%,76 of 95,88 of 156,3 of 7,0 of 1,42%,0%,0,0,0,0,5:01,0:34,"6' 1""",253 lbs.,"75""",Orthodox,"Jun 25, 1985",3.62,56%,2.83,51%,1.35,47%,59%,0.5, 21-9-1,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",7.09,51%,4.03,53%,0.00,0%,60%,0.0, 9-1-0
